image_path,task,x_norm,y_norm,done,confidence
invalid_data\images\image_000001.png,2,0.0,0.0,0,0
invalid_data\images\image_000002.png,2,0.0,0.0,0,0
invalid_data\images\image_000003.png,2,0.0,0.0,0,0
invalid_data\images\image_000004.png,2,0.0,0.0,0,0
invalid_data\images\image_000005.png,2,0.0,0.0,0,0
invalid_data\images\image_000006.png,2,0.0,0.0,0,0
invalid_data\images\image_000007.png,7,0.0521,0.0926,0,1
invalid_data\images\image_000008.png,7,0.0521,0.0926,0,1
invalid_data\images\image_000009.png,0,0.0,0.0,0,0
invalid_data\images\image_000010.png,2,0.0,0.0,0,0
invalid_data\images\image_000011.png,2,0.0,0.0,0,0
invalid_data\images\image_000012.png,2,0.0,0.0,0,0
invalid_data\images\image_000013.png,2,0.0,0.0,0,0
invalid_data\images\image_000014.png,2,0.0,0.0,0,0
invalid_data\images\image_000015.png,2,0.0,0.0,0,0
invalid_data\images\image_000016.png,2,0.0,0.0,0,0
invalid_data\images\image_000017.png,2,0.0,0.0,0,0
invalid_data\images\image_000018.png,2,0.0,0.0,0,0
invalid_data\images\image_000019.png,2,0.0,0.0,0,0
invalid_data\images\image_000020.png,2,0.0,0.0,0,0
invalid_data\images\image_000021.png,2,0.0,0.0,0,0
invalid_data\images\image_000022.png,2,0.0,0.0,0,0
invalid_data\images\image_000023.png,2,0.0,0.0,0,0
invalid_data\images\image_000024.png,2,0.0,0.0,0,0
invalid_data\images\image_000025.png,2,0.0,0.0,0,0
invalid_data\images\image_000026.png,2,0.0,0.0,0,0
invalid_data\images\image_000027.png,2,0.0,0.0,0,0
invalid_data\images\image_000028.png,2,0.0,0.0,0,0
invalid_data\images\image_000029.png,2,0.0,0.0,0,0
invalid_data\images\image_000030.png,2,0.0,0.0,0,0
invalid_data\images\image_000031.png,2,0.0,0.0,0,0
invalid_data\images\image_000032.png,2,0.0,0.0,0,0
invalid_data\images\image_000033.png,2,0.0,0.0,0,0
invalid_data\images\image_000034.png,2,0.0,0.0,0,0
invalid_data\images\image_000035.png,2,0.0,0.0,0,0
invalid_data\images\image_000036.png,2,0.0,0.0,0,0
invalid_data\images\image_000037.png,2,0.0,0.0,0,0
invalid_data\images\image_000038.png,2,0.0,0.0,0,0
invalid_data\images\image_000039.png,2,0.0,0.0,0,0
invalid_data\images\image_000040.png,2,0.0,0.0,0,0
invalid_data\images\image_000041.png,4,0.0,0.0,0,0
invalid_data\images\image_000042.png,4,0.0,0.0,0,0
invalid_data\images\image_000043.png,4,0.0,0.0,0,0
invalid_data\images\image_000044.png,4,0.6885,0.7741,0,1
invalid_data\images\image_000045.png,4,0.0,0.0,0,0
invalid_data\images\image_000046.png,4,0.0,0.0,0,0
invalid_data\images\image_000047.png,4,0.0,0.0,0,0
invalid_data\images\image_000048.png,4,0.0,0.0,0,0
invalid_data\images\image_000049.png,4,0.0,0.0,0,0
